Name,Speed,Modules,Price/GB,First Word Latency,CAS Latency,Rating,Rating Count,Price
 Kingston KTD-PE421/16G 16 GB  ,DDR4-2133,1 x 16GB,$3.374,14.065 ns,15,0, 0,53.99
 Crucial CT2K16G4SFD8213 32 GB  ,DDR4-2133,2 x 16GB,$2.312,14.065 ns,15,0, 0,74.0
 Corsair Dominator Platinum 8 GB  ,DDR4-3733,2 x 4GB,$26.249,9.108 ns,17,0, 0,209.99
 Patriot Viper 4 8 GB  ,DDR4-3600,2 x 4GB,$9.569,9.444 ns,17,0, 0,76.55
 Kingston KVR24R17S8/8MA 8 GB  ,DDR4-2400,1 x 8GB,$9.500,14.167 ns,17,0, 0,76.0
 G.Skill NT 16 GB  ,DDR4-2400,2 x 8GB,$3.903,14.167 ns,17,0, 0,62.45
 Kingston KTH-PL426D8/16G 16 GB  ,DDR4-2666,1 x 16GB,$3.343,14.254 ns,19,0, 0,53.49
 Crucial CT32G4LFD424A 32 GB  ,DDR4-2400,1 x 32GB,$2.281,14.167 ns,17,0, 0,72.98
 Kingston ValueRAM 16 GB  ,DDR4-2400,1 x 16GB,$2.719,14.167 ns,17,0, 0,43.5
 Mushkin Silverline 16 GB  ,DDR4-2666,2 x 8GB,$3.083,14.254 ns,19,0, 0,49.33
 Mushkin Redline 16 GB  ,DDR4-3200,2 x 8GB,$5.121,10 ns,16,0, 0,81.94
