Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price,Efficiency Rating
 Deepcool PX1000G WH  ,ATX, Rating80+ Gold,1000,Full,0, 0,160.98,3
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,1200,Full,0, 0,169.9,3
 Cooler Master XG850 Plus  ,ATX, Rating80+ Platinum,850,Full,5, 1,154.99,4
 Asus ROG THOR P2 Gaming EVA Edition  ,ATX, Rating80+ Platinum,1000,Full,5, 1,503.98,4
 Apevia Galaxy  ,ATX, Rating80+ Gold,1000,Semi,3, 1,79.98,3
 Corsair RM650 ,ATX, Rating80+ Gold,650,Full,5, 67,210.08,3
 EVGA SuperNOVA 750 GM  ,SFX, Rating80+ Gold,750,Full,5, 4,157.59,3
 Asus ROG THOR 850P  ,ATX, Rating80+ Platinum,850,Full,5, 15,349.99,4
 EVGA 600 BQ  ,ATX, Rating80+ Bronze,600,Semi,5, 129,159.99,1
 Cooler Master Elite 400 V3  ,ATX, Rating80+,400,No,3, 1,63.49,0
 SeaSonic VERTEX PX-1000  ,ATX, Rating80+ Platinum,1000,Full,0, 0,279.99,4
 Apevia Signature  ,ATX, Rating80+ Bronze,1050,Semi,4, 6,68.98,1
 Super Flower Leadex III Gold  ,ATX, Rating80+ Gold,850,Full,5, 21,119.99,3
 Corsair RM750  ,ATX, Rating80+ Gold,750,Full,5, 23,195.99,3
 Raidmax XT  ,ATX, Rating,400,No,0, 0,30.99,0
 Corsair CX550M  ,ATX, Rating80+ Bronze,550,Semi,5, 175,191.0,1
 be quiet! Pure Power 11 600  ,ATX, Rating80+ Gold,600,No,0, 0,165.05,3
 EVGA 500 GD  ,ATX, Rating80+ Gold,500,No,5, 12,95.15,3
 Montech CENTURY G5  ,ATX, Rating80+ Gold,850,Full,0, 0,99.0,3
 Asus Prime AP-850G  ,ATX, Rating80+ Gold,850,Full,0, 0,129.99,3
 EVGA SuperNOVA 650 G5  ,ATX, Rating80+ Gold,650,Full,5, 24,114.99,3
 Deepcool DQ750-M-V2L  ,ATX, Rating80+ Gold,750,Full,5, 11,196.37,3
 EVGA 750 N1  ,ATX, Rating,750,No,5, 7,68.48,0
 Corsair CX450M ,ATX, Rating80+ Bronze,450,Semi,5, 145,179.99,1
 Corsair CX650 ,ATX, Rating80+ Bronze,650,No,5, 25,148.97,1
 SeaSonic FOCUS GX-750 ATX 3.0  ,ATX, Rating80+ Gold,750,Full,0, 0,109.99,3
 Fractal Design Ion Gold  ,ATX, Rating80+ Gold,550,Full,5, 1,128.44,3
 Thermaltake Toughpower GX1  ,ATX, Rating80+ Gold,600,No,5, 4,80.75,3
 Corsair AX1500i  ,ATX, Rating80+ Titanium,1500,Full,5, 9,749.0,5
 EVGA 850 GQ  ,ATX, Rating80+ Gold,850,Semi,5, 24,184.43,3
 KOLINK Regulator  ,ATX, Rating80+ Gold,750,Full,0, 0,109.99,3
 be quiet! System Power 9 CM  ,ATX, Rating80+ Bronze,400,Semi,4, 1,143.69,1
 EVGA SuperNOVA 650 G3  ,ATX, Rating80+ Gold,650,Full,5, 148,169.99,3
 Raidmax RX-530SS  ,ATX, Rating,530,Semi,4, 16,49.99,0
 SeaSonic FOCUS  ,ATX, Rating80+ Gold,850,Semi,5, 8,135.61,3
 Thermaltake Toughpower GX3  ,ATX, Rating80+ Gold,850,No,0, 0,89.99,3
 Silverstone Extreme 850R Platinum  ,SFX, Rating80+ Platinum,850,Full,4, 2,224.37,4
 NZXT C650  ,ATX, Rating80+ Bronze,650,Semi,5, 2,89.54,1
 SeaSonic PRIME TX-1300 ATX 3.0  ,ATX, Rating80+ Titanium,1300,Full,0, 0,516.98,5
 Corsair HX1200i  ,ATX, Rating80+ Platinum,1200,Full,5, 12,599.0,4
 Corsair HX750 Platinum  ,ATX, Rating80+ Platinum,750,Full,5, 24,346.0,4
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,1350,Full,0, 0,247.82,3
 Corsair RM750x White ,ATX, Rating80+ Gold,750,Full,5, 62,225.0,3
 Logisys PS480D2  ,ATX, Rating,480,No,2, 1,16.98,0
 EVGA 650 N1  ,ATX, Rating,650,No,5, 4,71.91,0
 SeaSonic FOCUS SGX  ,SFX, Rating80+ Gold,650,Full,5, 24,170.3,3
 Silverstone DA750 Gold  ,ATX, Rating80+ Gold,750,Full,0, 0,152.08,3
 EVGA SuperNOVA 750 G5  ,ATX, Rating80+ Gold,750,Full,5, 23,137.65,3
 EVGA GE  ,ATX, Rating80+ Gold,600,No,0, 0,79.98,3
 be quiet! Straight Power 11 850W  ,ATX, Rating80+ Gold,850,Full,5, 8,269.52,3
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,1200,Full,4, 2,199.99,3
