Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 ADATA XPG SX6000 Pro  ,256 GB,$30.04,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 8,30.04
 SK Hynix Gold P31  ,500 GB,$62.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 10,62.99
 TEAMGROUP AX2  ,512 GB,$32.99,SSD,"2.5""",SATA 6.0 Gb/s,4, 4,32.99
 Silicon Power US75  ,2 TB,$139.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,139.99
 SanDisk Ultra 3D  ,500 GB,$137.30,SSD,"2.5""",SATA 6.0 Gb/s,5, 16,137.3
 Seagate FireCuda 530 w/Heatsink  ,4 TB,$503.25,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,503.25
 Corsair MP600 GS  ,500 GB,$58.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,58.98
 Kingston Fury Renegade with Heat Sink  ,4 TB,$420.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,420.0
 Lexar NM620  ,1 TB,$59.86,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,59.86
 ADATA Legend 800  ,500 GB,$54.89,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,54.89
 Acer Predator GM7  ,2 TB,$307.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,307.0
 PNY CS1031  ,2 TB,$112.54,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,112.54
 HP FX900 Pro  ,1 TB,$75.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,75.98
 Inland Performance Plus  ,4 TB,$279.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,279.99
 ADATA LEGEND 960 MAX  ,1 TB,$84.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,84.99
 Intel DC P3600  ,800 GB,$1850.00,SSD,PCIe,PCIe x4,0, 0,1850.0
 Lexar NM620  ,256 GB,$32.27,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,32.27
 Acer FA100  ,1 TB,$67.98,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,67.98
 Intel DC P4511  ,1 TB,$131.99,SSD,M.2-22110,M.2 PCIe 3.0 X4,0, 0,131.99
 TEAMGROUP CX2  ,256 GB,$22.98,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,22.98
 Inland Professional  ,512 GB,$36.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,36.99
 Corsair MP510  ,1.92 TB,$129.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,129.99
 Acer FA100  ,2 TB,$107.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,107.99
 Inland TN450  ,500 GB,$44.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,44.99
 Western Digital Black SN750  ,2 TB,$499.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 13,499.99
 Samsung PM893  ,7.68 TB,$849.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,849.99
 TEAMGROUP EX2  ,8 TB,$799.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,799.99
 Patriot P210  ,2 TB,$99.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 1,99.99
 Samsung PM961  ,512 GB,$93.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 1,93.99
 TEAMGROUP T-Create Classic  ,2 TB,$111.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 2,111.99
 Western Digital Black AN1500  ,1 TB,$522.24,SSD,PCIe,PCIe x8,0, 0,522.24
 Inland TN450  ,2 TB,$118.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,118.99
 Mushkin Vortex-LX  ,2 TB,$117.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,117.99
 Inland Professional  ,240 GB,$24.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 34,24.99
 ADATA SU800  ,1 TB,$133.88,SSD,"2.5""",SATA 6.0 Gb/s,5, 24,133.88
 Mushkin Vortex-LX  ,512 GB,$41.98,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,41.98
 Lexar Professional NM800PRO  ,1 TB,$89.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,89.99
 Kingston KC600  ,1.024 TB,$103.47,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,103.47
 Silicon Power P34A60  ,128 GB,$25.97,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 2,25.97
 Seagate FireCuda 520  ,1 TB,$167.88,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 7,167.88
 Samsung 850 Pro  ,512 GB,$210.00,SSD,"2.5""",SATA 6.0 Gb/s,5, 35,210.0
 Patriot Burst Elite  ,240 GB,$19.98,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,19.98
 Gigabyte AORUS Gen4  ,1 TB,$114.90,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 16,114.9
 MSI SPATIUM M470  ,1 TB,$143.19,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 9,143.19
 Mushkin ELEMENT  ,2 TB,$111.81,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,111.81
 Western Digital Red SA500  ,4 TB,$299.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,299.99
 GOODRAM PX700  ,1.024 TB,$136.78,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,136.78
 PNY CS2140  ,500 GB,$94.03,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,94.03
 Leven JS600  ,512 GB,$31.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 1,31.99
 Western Digital Green  ,480 GB,$43.51,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,43.51
 PNY CS2241  ,2 TB,$129.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,129.99
 Western Digital WD_BLACK SN850P for PS5  ,4 TB,$339.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,4, 1,339.99
 Transcend 110S  ,128 GB,$26.26,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 7,26.26
 PNY CS900  ,250 GB,$29.42,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,29.42
 Samsung 860 Evo  ,500 GB,$169.99,SSD,M.2-2280,M.2 SATA,5, 14,169.99
 Intenso Top Performance  ,128 GB,$34.95,SSD,M.2-2280,M.2 SATA,0, 0,34.95
 Intel 660p  ,2.048 TB,$199.00,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 32,199.0
 Lexar NM790 w/Heatsink  ,4 TB,$299.49,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,299.49
 PNY XLR8 CS3030  ,1 TB,$169.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,4, 7,169.99
 Mushkin Tempest  ,2 TB,$102.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,0, 0,102.99
