Brand,Model,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Rating,Rating Count,Price,Release Year
Intel,Core i9-9900KS  ,8,4 GHz,5 GHz,127 W,Intel UHD Graphics 630,Yes,5,7,$1989.00,2018.0
Intel,Core i7-9700F  ,8,3 GHz,4.7 GHz,65 W,,No,5,2,$395.86,2018.0
Intel,Core i9-13900F  ,24,2 GHz,5.6 GHz,65 W,,Yes,0,0,$469.99,2022.0
Intel,Core i5-7600K  ,4,3.8 GHz,4.2 GHz,91 W,Intel HD Graphics 630,No,5,137,$210.00,2016.0
AMD,Ryzen 5 1600X  ,6,3.6 GHz,4 GHz,95 W,,Yes,5,75,$125.00,2017.0
Intel,Core i7-11700KF  ,8,3.6 GHz,5 GHz,125 W,,Yes,5,3,$249.68,2020.0
Intel,Core i5-12500  ,6,3 GHz,4.6 GHz,65 W,Intel UHD Graphics 770,Yes,5,3,$195.99,2021.0
Intel,Core i5-11600KF  ,6,3.9 GHz,4.9 GHz,125 W,,Yes,5,4,$160.68,2020.0
AMD,Ryzen 9 3900XT  ,12,3.8 GHz,4.7 GHz,105 W,,Yes,5,15,$450.00,2019.0
Intel,Core i5-8500  ,6,3 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,5,7,$159.99,2017.0
Intel,Core i9-14900F  ,24,2 GHz,5.8 GHz,65 W,,Yes,0,0,$559.99,2023.0
AMD,Ryzen 7 1700X  ,8,3.4 GHz,3.8 GHz,95 W,,Yes,5,94,$225.00,2017.0
AMD,Ryzen 5 2400G  ,4,3.6 GHz,3.9 GHz,65 W,Radeon Vega 11,Yes,5,80,$135.00,2018.0
Intel,Core i9-13900  ,24,2 GHz,5.6 GHz,65 W,Intel UHD Graphics 770,Yes,5,2,$567.98,2022.0
Intel,Core i5-9400  ,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,5,12,$160.91,2018.0
AMD,Ryzen 7 3800XT  ,8,3.9 GHz,4.7 GHz,105 W,,Yes,5,22,$406.45,2019.0
AMD,Ryzen 5 1400  ,4,3.2 GHz,3.4 GHz,65 W,,Yes,5,52,$110.00,2017.0
Intel,Core i7-8700K  ,6,3.7 GHz,4.7 GHz,95 W,Intel UHD Graphics 630,Yes,5,2,$252.50,2017.0
AMD,Ryzen 3 1200 ,4,3.1 GHz,3.4 GHz,65 W,,No,5,69,$105.00,2017.0
