Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 Corsair RM650x ,ATX, Rating80+ Gold,650 W,Full,5, 14,$163.59
 Silverstone SX500-G  ,SFX, Rating80+ Gold,500 W,Full,5, 2,$116.47
 Corsair CX550 ,ATX, Rating80+ Bronze,550 W,No,5, 36,
 MSI MPG A850GF  ,ATX, Rating80+ Gold,850 W,Full,5, 19,$165.00
 SeaSonic FOCUS Plus Platinum  ,ATX, Rating80+ Platinum,850 W,Full,5, 22,$174.99
 SeaSonic G12 GC  ,ATX, Rating80+ Gold,650 W,No,0, 0,$110.50
 SeaSonic G12 GM  ,ATX, Rating80+ Gold,750 W,Semi,5, 1,
 Silverstone SFX  ,SFX, Rating80+ Titanium,800 W,Full,5, 8,$217.98
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,550 W,No,0, 0,$149.90
 Corsair RM850x ,ATX, Rating80+ Gold,850 W,Full,5, 163,$144.99
 Cooler Master MWE Bronze V2  ,ATX, Rating80+ Bronze,650 W,No,4, 9,
 EVGA SuperNOVA 850 G3  ,ATX, Rating80+ Gold,850 W,Full,5, 74,
 Super Flower Leadex  ,ATX, Rating80+ Platinum,2000 W,Full,5, 1,
 EVGA 750 GQ  ,ATX, Rating80+ Gold,750 W,Semi,5, 60,$109.26
 GameMax GX Pro Rampage  ,ATX, Rating80+ Gold,850 W,Full,0, 0,$109.99
 ADATA XPG PYLON  ,ATX, Rating80+ Bronze,650 W,No,5, 2,
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,750 W,Full,5, 1,$104.49
 Corsair HX1000 Platinum  ,ATX, Rating80+ Platinum,1000 W,Full,5, 29,$390.00
 EVGA SuperNOVA 1000G XC  ,ATX, Rating80+ Gold,1000 W,Full,0, 0,$124.99
 EVGA SuperNOVA 1300 GT  ,ATX, Rating80+ Gold,1300 W,Full,5, 2,$219.99
 Corsair AX1200i  ,ATX, Rating80+ Platinum,1200 W,Full,5, 56,$657.73
 Asus ROG-STRIX-850G  ,ATX, Rating80+ Gold,850 W,Full,5, 7,$168.16
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1200 W,Full,5, 3,$177.98
 Corsair RM650x ,ATX, Rating80+ Gold,650 W,Full,5, 96,$179.99
 SeaSonic S12III  ,ATX, Rating80+ Bronze,500 W,No,5, 18,$68.90
